car_brand;body_type;condition;num_seats;num_doors;mileage;first_reg;power_kW;transmission;displacement;fuel;fuel_eff;color;seller;brand;model;model_details;price;year_built;num_owners;co2_emission_gpkm;fuel_eff_combi_lpkm;fuel_eff_city_lpkm;fuel_eff_highway_lpkm
skoda;Limousine;Used_cars;5;5;6441;04/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,5 l/100 km (innerorts)4,1 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;AZM Style Edt.: NAVIGATIONSFUNKTION*+ PremPak+ ...;16498;2021;1;106;4;5;4
skoda;Limousine;Annual_cars;5;4;13406;05/2021;70;Automatic;999.0;Super95_PF;5 l/100 km (komb.)6,1 l/100 km (innerorts)4,4 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0 TSI DSG Clever NAVI ACC KAMERA;19450;2021;1;115;5;6;4
skoda;Kombi;Used_cars;5;5;15900;02/2021;70;Automatic;999.0;Super95;4,7 l/100 km (komb.)5,8 l/100 km (innerorts)4 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Combi 1.0 DSG Style Kamera PDC Shzg Garantie sofor;18989;2021;1;107;4;5;4
skoda;Smallcar;One_day_registered_cars;5;4;7;07/2021;70;Automatic;999.0;Super95_E10_91;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4,2 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0 TSI  DSG STYLE+LIMIT+KESSY+15'ALU+PDC+;19990;2021;1;108;4;5;4
skoda;Limousine;Used_cars;5;5;13812;01/2021;81;Manual;999.0;Super95_PF;4,6 l/100 km (komb.)5,6 l/100 km (innerorts)4 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;Drive 125*X 125 1.0 TSI AKTION JAHRESWAGEN;17599;2021;1;104;4;5;4
skoda;Smallcar;Used_cars;5;5;9;12/2021;81;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,6 l/100 km (innerorts)4 l/100 km (außerorts);Green;Retailer;Skoda ;Fabia;III 1,0 TSI Style DAB LED KAMERA KEYLESS PDC SHZ;18770;2021;1;104;4;5;4
skoda;Limousine;Demonstration_cars;5;5;7791;06/2021;66;Manual;999.0;Erdgas;3,5 kg/100 km (komb.)4,5 kg/100 km (innerorts)2,8 kg/100 km (außerorts);Grey;Retailer;Skoda ;Scala;Drive 125 1.0 TGI G-TEC LED Klimaautomatik;19790;2020;1;95;3;4;2
skoda;Smallcar;Demonstration_cars;5;4;3000;11/2021;59;Manual;999.0;Super95_E10;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;Ambition*SH KLIMA DAB LIGHTASSIST TEMPOMAT;19990;2021;1;104;4;5;3
skoda;Limousine;One_day_registered_cars;5;5;10;07/2021;70;Manual;999.0;Super95_E10;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;1.0 TSI Ambition Plus Edition;18900;2021;1;105;4;5;3
skoda;Limousine;One_day_registered_cars;5;5;50;09/2021;70;Manual;999.0;Super95;5,4 l/100 km (komb.)6,8 l/100 km (innerorts)4,7 l/100 km (außerorts);Red;Retailer;Skoda ;Scala;Ambition 1.0 TSI EU6d LED Keyless Rückfahrkam. LED;19990;2021;1;122;5;6;4
skoda;Smallcar;Used_cars;5;5;27;12/2021;81;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,6 l/100 km (innerorts)4 l/100 km (außerorts);Orange;Retailer;Skoda ;Fabia;III 1,0 TSI Style DAB LED KA PDC SHZ TEMPOMAT;18770;2021;1;104;4;5;4
skoda;Kombi;Annual_cars;5;4;20106;03/2021;81;Manual;1000.0;Super95_E10;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;Combi 1.0 TSI Drive 125*LED*Pano*Kamera*ACC*MFL*SH;18570;2021;1;106;4;5;4
skoda;Limousine;Used_cars;5;4;50;04/2021;70;Manual;999.0;Super95;4,7 l/100 km (komb.)6 l/100 km (innerorts)3,9 l/100 km (außerorts);Silver;Retailer;Skoda ;Scala;1,0 TSI Active DAB Alu Klima LED;17770;2021;1;106;4;6;3
skoda;Smallcar;Demonstration_cars;5;5;3000;07/2021;44;Manual;999.0;Super95;4,9 l/100 km (komb.)6,1 l/100 km (innerorts)4,2 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;Cool Plus 1.0 MPI 16 Zoll LM PDC BT-FreiSpr. Nebel;14980;2021;1;111;4;6;4
skoda;Limousine;Annual_cars;5;4;6852;01/2021;44;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,4 l/100 km (innerorts)4 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;Limo Active* DAB * 5 Jahres Garantie !!!;12650;2021;1;106;4;5;4
skoda;Limousine;Used_cars;5;5;32;10/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)6 l/100 km (innerorts)3,7 l/100 km (außerorts);Orange;Retailer;Skoda ;Fabia;IV 1,0 TSI Ambition Neues Mod. DAB Link LED;18770;2021;1;104;4;6;3
skoda;Limousine;Used_cars;5;5;20;07/2021;70;Manual;999.0;Super95_91;4,7 l/100 km (komb.)6 l/100 km (innerorts)3,9 l/100 km (außerorts);Silver;Retailer;Skoda ;Scala;1,0 TSI Active DAB Alu Klima LED;17770;2021;2;106;4;6;3
skoda;Smallcar;Used_cars;5;4;10;07/2021;44;Manual;999.0;Super95;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Red;Retailer;Skoda ;Fabia;1.0 MPI Active Bluetooth Klima;15290;2021;1;104;4;5;3
skoda;Kombi;Annual_cars;5;5;18029;06/2021;70;Automatic;999.0;Super95;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Combi 1.0 TSI DSG Style;19690;2021;1;109;4;5;3
skoda;Kombi;One_day_registered_cars;5;5;641;08/2021;70;Automatic;999.0;Super95;4,9 l/100 km (komb.)6 l/100 km (innerorts)4,2 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Ambition;19990;2021;1;111;4;6;4
skoda;Limousine;Demonstration_cars;5;5;3285;10/2021;59;Manual;999.0;Super95_91;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;Ambition 1,0 59 kW SmartLink Sitzheizung PDC DAB+;16895;2021;1;104;4;5;3
skoda;Smallcar;Used_cars;5;4;18119;06/2021;70;Automatic;1000.0;Super95;5 l/100 km (komb.)6 l/100 km (innerorts)4 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Clever(Garantie06/2026,Rückfahrkamera,Sitzhe;19969;2021;1;115;5;6;4
skoda;Limousine;Used_cars;5;4;8;12/2021;70;Manual;999.0;Super95;4,6 l/100 km (komb.)6 l/100 km (innerorts)3,7 l/100 km (außerorts);Orange;Retailer;Skoda ;Fabia;IV 1,0 TSI Ambition Neues Mod. DAB Link;18770;2021;1;104;4;6;3
skoda;Smallcar;Used_cars;5;5;9;12/2021;81;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,6 l/100 km (innerorts)4 l/100 km (außerorts);Silver;Retailer;Skoda ;Fabia;III 1,0 TSI Style DAB LED KAMERA KEYLESS PDC SHZ;18770;2021;1;104;4;5;4
skoda;Smallcar;One_day_registered_cars;5;5;10;10/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)6 l/100 km (innerorts)3,7 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;Ambition 1.0 TSI 70 kW (95 PS), Schaltgetriebe,...;19980;2021;1;104;4;6;3
skoda;Smallcar;Annual_cars;5;5;26958;04/2021;70;Automatic;999.0;Super95_91;4,8 l/100 km (komb.)5,9 l/100 km (innerorts)4,2 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;1.0 TSI LED AAC SHZ Kamera;19990;2021;1;111;4;5;4
skoda;Smallcar;One_day_registered_cars;5;5;11;12/2021;48;Manual;999.0;Super95;4,7 l/100 km (komb.)5,8 l/100 km (innerorts)4,1 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;1.0 MPI Active Klima, ABS, ESP, ZV, Radio, elektr.;16439;2021;1;107;4;5;4
skoda;Limousine;Used_cars;5;5;57;10/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)6 l/100 km (innerorts)3,7 l/100 km (außerorts);Orange;Retailer;Skoda ;Fabia;IV 1,0 TSI Ambition Neues Mod. Klima DAB Link LED;18770;2021;2;104;4;6;3
skoda;Limousine;Annual_cars;5;5;9200;01/2021;70;Manual;999.0;Super95;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;1.0 TSI Ambition_ANHÄNGERKUPPLUNG_SHZ_PDC_KLIMA;17990;2021;1;105;4;5;3
skoda;Kombi;Demonstration_cars;5;4;2000;09/2021;70;Automatic;999.0;Super95_E10_91;6,5 l/100 km (komb.)6 l/100 km (innerorts)4,2 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;"Combi; Garantie bis 05.2026 / 100TK";19500;2021;1;111;6;6;4
skoda;Limousine;Used_cars;5;5;2850;01/2021;70;Manual;999.0;Super95;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;Ambition (NJ3);16400;2021;1;105;4;5;3
skoda;Smallcar;One_day_registered_cars;5;4;10;07/2021;70;Manual;999.0;Super95_E10;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Monte Carlo;17875;2021;1;107;4;5;3
skoda;Smallcar;Used_cars;5;5;19550;06/2021;44;Manual;999.0;Super95_E10_PF;4 l/100 km (komb.)5 l/100 km (innerorts)4 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;Cool Plus 1.0 MPI 44 KW Einparkhilfe Klima;14490;2021;1;110;4;5;4
skoda;Smallcar;Demonstration_cars;5;4;4000;08/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Silver;Retailer;Skoda ;Fabia;FABIA 1.0TSI LED NAVIGATION ALU 5JAHRE GARANTIE;19700;2021;1;105;4;5;3
skoda;Limousine;Used_cars;5;4;50;04/2021;70;Manual;999.0;Super95;4,7 l/100 km (komb.)6 l/100 km (innerorts)3,9 l/100 km (außerorts);Silver;Retailer;Skoda ;Scala;1,0 TSI Active DAB Alu Klima LED;17770;2021;1;106;4;6;3
skoda;Smallcar;One_day_registered_cars;5;4;20;11/2021;81;Manual;999.0;Super95_91;4,5 l/100 km (komb.)5,9 l/100 km (innerorts)3,7 l/100 km (außerorts);Silver;Retailer;Skoda ;Fabia;Style 1.0 TSI *SHZ*Kamera*5J.Gar.*;19950;2021;1;106;4;5;3
skoda;Smallcar;Used_cars;5;5;14500;02/2021;70;Manual;999.0;Super95;4,5 l/100 km (komb.)5,7 l/100 km (innerorts)3,9 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0 TSI Drive 125 Best of) Navi ACC Klimaautoma...;16790;2021;1;107;4;5;3
skoda;Limousine;Used_cars;5;5;4500;04/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,5 l/100 km (innerorts)4,1 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;AZM Style Edt.:SOFORT+ NAVIGATIONSFUNKTION*+ Pr...;15807;2021;1;106;4;5;4
skoda;Smallcar;Annual_cars;5;5;17034;06/2021;70;Manual;999.0;Super95;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;Ambition 1.0 TSI ACC SHZ PDC Panoramadach;17917;2021;1;105;4;5;3
skoda;Smallcar;Demonstration_cars;5;4;1000;12/2021;70;Manual;999.0;Super95_E10;4,8 l/100 km (komb.)6 l/100 km (innerorts)4 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0l TSI 70kW ACTIVE, Sitzheizung,LMFelgen;17890;2021;1;109;4;6;4
skoda;Smallcar;Used_cars;5;4;10;07/2021;44;Manual;999.0;Super95;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Red;Retailer;Skoda ;Fabia;1.0 MPI Active Bluetooth Klima Alu;15490;2021;1;104;4;5;3
skoda;Kombi;Used_cars;5;5;35603;05/2021;70;Manual;999.0;Super95;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;Combi Cool Plus AHK-Vorb.*DAB*Freispr.*Sitzheiz*PD;17290;2021;1;105;4;5;3
skoda;Kombi;Used_cars;5;5;7;12/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;III Combi 1,0 TSI Ambition ALU DAB KLIMA SHZ;19970;2021;1;105;4;5;3
skoda;Smallcar;Used_cars;5;5;6;12/2021;81;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,6 l/100 km (innerorts)4 l/100 km (außerorts);Silver;Retailer;Skoda ;Fabia;III 1,0 TSI Style DAB LED KAMERA KEYLESS PDC SHZ;18770;2021;1;104;4;5;4
skoda;Kombi;Used_cars;5;5;8700;03/2021;70;Manual;998.0;Super95;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);White;Private;Skoda ;Fabia;Combi 1.0 TSI Style;19999;2021;1;105;4;5;3
